variant,feature_count,best_iteration,split,r2,rmse,ubrmse,bias,mae,q90,n,macro_station_r2
baseline_38,38,340,train,0.9579562393243726,0.02053135792379883,0.020531348427173114,1.9747332812054533e-05,0.014878340946074169,0.032134420537948606,6868,0.9501265645297268
baseline_38,38,340,val,0.874611872211984,0.03720731407040884,0.03514934345757076,-0.012202781438498813,0.029261575992076714,0.05819678397178648,2720,0.8648819032923063
baseline_38,38,340,test,0.7589388473209208,0.04623249376823427,0.04619654385958833,-0.0018228591440238096,0.03587979447014215,0.07280245846509932,4016,0.3936143342333594
minus_smap_x_year,37,360,train,0.9591532968963113,0.02023696594370944,0.020236965922030153,-9.367208906077204e-07,0.014619926404710644,0.032124051797389974,6868,0.9511814005224369
minus_smap_x_year,37,360,val,0.8950044658503772,0.03404752323641044,0.033351858151985714,-0.00684743720991537,0.026030160432095256,0.05527711250185966,2720,0.8839059388144145
minus_smap_x_year,37,360,test,0.7802505878878094,0.044141548704627914,0.04402130237617789,0.0032559574856181653,0.03309262804405771,0.06940138679742813,4016,0.4394806464640556
alternative_smap_mean_std,41,491,train,0.9689735848922276,0.01763732411359764,0.017637320830812674,-1.0760997818982268e-05,0.012674452677186745,0.027205271941423415,6868,0.9627733783717248
alternative_smap_mean_std,41,491,val,0.8900625808379099,0.0348395775281682,0.034262047708116444,-0.006317297617493964,0.02688487309131443,0.05596561151742935,2720,0.8762638720661347
alternative_smap_mean_std,41,491,test,0.771001085582053,0.045060957636849024,0.045039045933104885,0.0014050781421578553,0.034218565323382646,0.07196604841947554,4016,0.38852089133888534
alternative_smap_plus_ndvi_lst,46,325,train,0.9586736191801017,0.02035544415773327,0.020355427434662864,2.6092350832584477e-05,0.014752418636961478,0.032185909414291364,6868,0.9505145408221457
alternative_smap_plus_ndvi_lst,46,325,val,0.8946477018417068,0.03410531917012296,0.03341024607016515,-0.006850419930702843,0.026188019065367166,0.054651119399070726,2720,0.8831162739162758
alternative_smap_plus_ndvi_lst,46,325,test,0.7810936489645033,0.044056793568242776,0.043972159071837345,0.00272952121731814,0.03346236918081875,0.07039133244752883,4016,0.45570551722652153
alternative_smap_plus_soil,44,512,train,0.9704967497999513,0.017198945789862693,0.01719893626716993,-1.8098631507742893e-05,0.012336368919859574,0.026798823124170305,6868,0.9645777482536714
alternative_smap_plus_soil,44,512,val,0.8889779748909742,0.03501101356500525,0.03445175078311675,-0.006232811470516027,0.027039546414420884,0.05686656694710254,2720,0.876113894315302
alternative_smap_plus_soil,44,512,test,0.7723393321820807,0.04492909886240285,0.04490473938478171,0.0014792921862850678,0.03398157655185393,0.07155349853634833,4016,0.4132294907120345
alternative_smap_ndvi_lst_soil,49,606,train,0.9756087444717328,0.015638099586465493,0.015638091050079597,-1.6339695001143395e-05,0.011153091570269764,0.0242268545985222,6868,0.9706384200497634
alternative_smap_ndvi_lst_soil,49,606,val,0.8927740448046845,0.03440725872624021,0.033594653475847766,-0.007433620308580645,0.026668320483287027,0.05562207933664323,2720,0.8800235481388976
alternative_smap_ndvi_lst_soil,49,606,test,0.775086604882232,0.04465718731706762,0.044618780204548396,0.0018517105956023837,0.03389631332977642,0.0725651047229767,4016,0.45711627881811195
