split,MAE,RMSE,R2
train,0.019661404594696376,0.02658617255441986,0.9307873380825716
val,0.04256532470538424,0.05760108369210364,0.7029513842863517
test,0.03952442106473832,0.05207982036285583,0.7128167949657334
