Model,Val_R2,Test_R2,Val_MAE,Test_MAE
SMAP_baseline,-5.504672789239781,-8.065685277499151,0.19859001569535278,0.22019402482994077
SMAP_only_regressor,-0.052396986345172314,-0.015510862004193715,0.09830815772479005,0.0825357376503617
handpicked_feature_regressor,0.5368183530801862,0.4953930341258719,0.0577561443358571,0.05464233093569707
XGB_v1.0,0.6137,0.5208,0.0509,0.0498
