n_features,candidate_ucb,fold_id,fold_family,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
50,0.8812898912911659,year_2019_stations_1_beta_0,station_time,2019,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,3569,730,0.04795634347843486,0.5200921812424146
50,0.8812898912911659,year_2019_stations_1_beta_0.2,station_time,2019,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,3569,730,0.04783857654656143,0.5188149850253214
50,0.8812898912911659,year_2019_stations_2_beta_0,station_time,2019,"['Darrington', 'MartenRidge_WA_999']",0.0,3566,689,0.13043749017914777,1.3266823439787037
50,0.8812898912911659,year_2019_stations_2_beta_0.2,station_time,2019,"['Darrington', 'MartenRidge_WA_999']",0.2,3566,689,0.11385574092671494,1.1580290378220852
50,0.8812898912911659,year_2019_stations_3_beta_0,station_time,2019,"['Quinault', 'RainyPass_WA_711']",0.0,3565,729,0.08347119629695096,1.4868471330586606
50,0.8812898912911659,year_2019_stations_3_beta_0.2,station_time,2019,"['Quinault', 'RainyPass_WA_711']",0.2,3565,729,0.08241437712351007,1.4680223332726126
50,0.8812898912911659,year_2020_stations_0_beta_0,station_time,2020,['Paradise_WA'],0.0,6406,366,0.08302745017281336,0.6856369786810999
50,0.8812898912911659,year_2020_stations_0_beta_0.2,station_time,2020,['Paradise_WA'],0.2,6406,366,0.07920750870569555,0.6540920724988442
50,0.8812898912911659,year_2020_stations_1_beta_0,station_time,2020,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,5352,726,0.053432068772625754,0.45547483682681367
50,0.8812898912911659,year_2020_stations_1_beta_0.2,station_time,2020,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,5352,726,0.05312416282074085,0.45285013191805246
50,0.8812898912911659,year_2020_stations_2_beta_0,station_time,2020,"['Darrington', 'MartenRidge_WA_999']",0.0,5390,722,0.09361335910974503,0.9780608099723811
50,0.8812898912911659,year_2020_stations_2_beta_0.2,station_time,2020,"['Darrington', 'MartenRidge_WA_999']",0.2,5390,722,0.08409713284116438,0.878636453655703
