feature,importance
SMAP_sm_pm_interp_mask,0.0
SMAP_sm_interp_mask,0.0
SMAP_sm_am_interp_mask,0.0
G_DSLR_isnan,0.0
A_d_SMAP_sm_interp_kobs1,0.0
A_d_LST_modis_kobs2,-1.7309188842773445e-06
SMAP_sm_interp_diff1,-2.2864341735839843e-06
SMAP_sm_am_interp_grad7,-3.8099288940429684e-06
V_rollstd_s2_b11_kobs30,-7.512569427490221e-06
A_grad_s2_b11_kobs7,-7.758140563964844e-06
SMAP_sm_am_interp_diff1,-1.1439323425292968e-05
D_fft_dom_E_SAR_ratio_kobs30,-1.3024806976318358e-05
SMAP_sm_interp_grad7,-1.3062953948974611e-05
C_lag_G_API_kobs12,-1.468658447265625e-05
V_rollcv_s2_b11_kobs7,-1.5363693237304684e-05
V_rollcv_SMAP_sm_interp_kobs7,-1.9066333770751953e-05
A_grad_E_SAR_ratio_kobs14,-1.9521713256835936e-05
A_pct_s2_b12,-1.9979476928710937e-05
V_rollrng_E_SAR_diff_kobs7,-2.1677017211914063e-05
A_grad_E_SAR_diff_kobs7,-2.3357868194580078e-05
A_grad_s2_b12_kobs14,-2.3632049560546873e-05
V_rollcv_F_NDMI_kobs7,-2.4025440216064456e-05
V_rollstd_LST_modis_kobs7,-2.4924278259277342e-05
A_d_SMAP_sm_interp_kobs30,-2.5575160980224612e-05
A_d_s2_b12_kobs14,-2.60615348815918e-05
V_rollstd_SMAP_sm_interp_kobs30,-2.6774406433105475e-05
SMAP_sm_interp_rollmean7,-2.9718875885009767e-05
A_d_s2_b12_kobs1,-3.4139156341552734e-05
V_rollcv_s2_b12_kobs7,-3.421545028686524e-05
SMAP_sm_pm_interp_rollstd7,-3.5183429718017576e-05
A_grad_s2_b11_kobs30,-3.5970211029052735e-05
A_d_SMAP_sm_interp_kobs5,-4.000186920166015e-05
A_grad_s2_b11_kobs14,-4.7123432159423836e-05
A_d_s2_b11_kobs2,-4.762172698974609e-05
D_fft_ent_E_SAR_ratio_kobs30,-4.834175109863281e-05
A_pct_F_NDMI,-4.9693584442138674e-05
A_grad_F_NDMI_kobs7,-4.9772262573242185e-05
V_rollstd_SMAP_sm_interp_kobs7,-5.019187927246093e-05
A_d_E_SAR_ratio_kobs5,-5.131006240844726e-05
V_rollcv_E_SAR_diff_kobs7,-5.277633666992187e-05
A_grad_SMAP_sm_interp_kobs30,-5.428314208984375e-05
V_rollcv_E_SAR_ratio_kobs14,-5.891799926757812e-05
